haversine_km,euclidean_km,absolute_difference_km,percent_error
78.86102554260275,78.86052208839152,0.0005034542112269946,0.000638406878128938
79.26133528459057,79.26082412459085,0.0005111599997178473,0.0006449046030861196
79.66164502657841,79.66112608255976,0.0005189440186512684,0.0006514352276784232
80.06195476856624,80.06142796190312,0.0005268066631174406,0.0006579987518919216
80.46226451055406,80.46172976222587,0.000534748328192336,0.0006645951756953026
80.8625742525419,80.86203148313291,0.0005427694089945589,0.000671224499110597
81.26288399452973,81.26233312422912,0.0005508703006142923,0.0006778867221244258
81.66319373651756,81.66263468511941,0.0005590513981417189,0.000684581844723673
82.0635034785054,82.0629361654087,0.0005673130966954432,0.0006913098669301117
82.46381322049322,82.46323756470187,0.0005756557913514371,0.000698070788713394
82.86412296248106,82.86353888260382,0.000584079877242516,0.0007048646101123567
83.26443270446889,83.26384011871947,0.0005925857494162301,0.0007116913310626873
83.66474244645673,83.66414127265374,0.000601173802991184,0.0007185509515862307
84.06505218844455,84.06444234401148,0.0006098444330717712,0.0007254434716875123
84.46536193043238,84.46474333239765,0.0006185980347339637,0.0007323688913373215
84.86567167242022,84.86504423741711,0.0006274350031105769,0.0007393272105739801
85.26598141440805,85.26534505867477,0.0006363557332775827,0.0007463184293684242
85.66629115639587,85.66564579577555,0.0006453606203251638,0.0007533425477087215
86.06660089838371,86.06594644832435,0.000654450059357714,0.000760399565599673
86.46691064037154,86.46624701592604,0.0006636244454938378,0.0007674894830624265
86.86722038235936,86.86654749818558,0.0006728841737810853,0.000774612300035943
87.26753012434719,87.26684789470784,0.000682229639352272,0.0007817680165580089
87.66783986633503,87.66714820509773,0.0006916612372975806,0.000788956632617091
88.06814960832286,88.06744842896015,0.0007011793627071938,0.000796178148201866
88.4684593503107,88.4677485659,0.0007107844106997163,0.0008034325633333413
88.86876909229854,88.86804861552218,0.00072047677635112,0.0008107198779841739
89.26907883428636,89.26834857743162,0.0007302568547373767,0.0008180400921275112
89.66938857627419,89.66864845123321,0.000740125040977091,0.0008253932057845236
90.06969831826203,90.06894823653184,0.0007500817301888674,0.0008327792189760061
90.47000806024985,90.46924793293242,0.0007601273174344669,0.0008401981316595537
90.87031780223768,90.86954754003987,0.0007702621978040725,0.0008476499438247862
91.2706275442255,91.26984705745909,0.0007804867664162884,0.0008551346554926455
91.67093728621334,91.67014648479497,0.0007908014183755085,0.0008626522666682055
92.07124702820117,92.07044582165243,0.0008012065487434938,0.0008702027773101481
92.471556770189,92.47074506763636,0.0008117025526388488,0.000877786187439342
92.87186651217684,92.87104422235167,0.0008222898251659672,0.0008854024970609944
93.27217625416466,93.27134328540326,0.0008329687614008208,0.0008930517061497515
93.6724859961525,93.67164225639605,0.0008437397564478033,0.0009007338147110338
94.07279573814033,94.07194113493495,0.0008546032053828867,0.0009084488227199581
94.47310548012817,94.47223992062484,0.0008655595033246755,0.0009161967301971888
94.873415222116,94.87253861307063,0.0008766090453633524,0.0009239775371330846
95.27372496410383,95.27283721187725,0.0008877522265891002,0.0009317912435181658
